ProductID,ChannelID,LocationID,Method,Period,StartDate,EndDate,Type,Qty,Level 
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,13.982413,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,18.461374,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,15.594469,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.067238,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.73738,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.287626,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.603586,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,16.516163,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,17.613966,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,17.722956,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.21449,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,15.895499,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,18.150728,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.554125,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,18.865244,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,15.68748,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,13.972729,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.256964,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,15.599199,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,18.101763,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.372917,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,24/02/2025,24/02/2025,1,16.49766,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,25/02/2025,25/02/2025,1,18.788492,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,26/02/2025,26/02/2025,1,15.935828,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,27/02/2025,27/02/2025,1,21.797403,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,28/02/2025,28/02/2025,1,16.56833,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,1/3/25,1/3/25,1,17.780582,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,2/3/25,2/3/25,1,16.085594,111
AztecWrap,Pickup,StoreAmsterdamZuid,XGBoost,Daily,24/02/2025,24/02/2025,1,15.249704,111
AztecWrap,Pickup,StoreAmsterdamZuid,XGBoost,Daily,25/02/2025,25/02/2025,1,17.40818,111
AztecWrap,Pickup,StoreAmsterdamZuid,XGBoost,Daily,26/02/2025,26/02/2025,1,16.305758,111
