ProductID,LocationID,ChannelID,Period,StartDate,EndDate,Qty,Level
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/02/2022,23/03/2022,403,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/03/2022,23/04/2022,453,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/04/2022,23/05/2022,420,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/05/2022,23/06/2022,421,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/06/2022,23/07/2022,727,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/07/2022,23/08/2022,801,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/08/2022,23/09/2022,531,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/09/2022,23/10/2022,427,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/10/2022,23/11/2022,453,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/11/2022,23/12/2022,652,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/12/2022,23/01/2023,716,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/01/2023,23/02/2023,530,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/02/2023,23/03/2023,381,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/03/2023,23/04/2023,449,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/04/2023,23/05/2023,422,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/05/2023,23/06/2023,436,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/06/2023,23/07/2023,729,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/07/2023,23/08/2023,788,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/08/2023,23/09/2023,567,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/09/2023,23/10/2023,412,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/10/2023,23/11/2023,458,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/11/2023,23/12/2023,612,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/12/2023,23/01/2024,718,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Monthly,24/01/2024,23/02/2024,496,111
