ProductID,LocationID,ChannelID,Period,StartDate,EndDate,Qty,Level
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,28/02/2022,6/3/22,113,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,2/5/22,8/5/22,105,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,22/01/2024,28/01/2024,155,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,29/01/2024,4/2/24,116,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,5/2/24,11/2/24,93,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,12/2/24,18/02/2024,97,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,19/02/2024,25/02/2024,97,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,26/02/2024,3/3/24,92,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,4/3/24,10/3/24,104,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,11/3/24,17/03/2024,95,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,18/03/2024,24/03/2024,86,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,25/03/2024,31/03/2024,103,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,9/5/22,15/05/2022,91,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,1/4/24,7/4/24,100,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,8/4/24,14/04/2024,106,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,15/04/2024,21/04/2024,99,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,22/04/2024,28/04/2024,104,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,29/04/2024,5/5/24,105,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,6/5/24,12/5/24,103,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,13/05/2024,19/05/2024,99,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,20/05/2024,26/05/2024,109,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,27/05/2024,2/6/24,106,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,3/6/24,9/6/24,93,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,16/05/2022,22/05/2022,109,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,10/6/24,16/06/2024,105,111
AztecWrap,StoreAmsterdamCenter,OwnWebsite,Weekly,17/06/2024,23/06/2024,102,111
